,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10
2017-04-01 07:00:00,709.0,877.0,552.0,437.0,986.0,1027.0,993.0,700.0,676.0,671.0
2017-04-01 07:10:00,680.0,941.0,610.0,419.0,896.0,992.0,996.0,743.0,690.0,718.0
2017-04-01 07:20:00,700.0,939.0,771.0,413.0,966.0,966.0,948.0,708.0,746.0,675.0
2017-04-01 07:30:00,647.0,898.0,773.0,387.0,882.0,981.0,945.0,776.0,709.0,707.0
2017-04-01 07:40:00,684.0,878.0,756.0,390.0,879.0,929.0,893.0,761.0,631.0,680.0
2017-04-01 07:50:00,664.0,897.0,734.0,405.0,940.0,994.0,903.0,821.0,698.0,716.0
2017-04-01 08:00:00,679.0,881.0,708.0,412.0,930.0,1014.0,879.0,855.0,737.0,697.0
2017-04-01 08:10:00,629.0,925.0,722.0,403.0,972.0,1029.0,910.0,869.0,679.0,723.0
2017-04-01 08:20:00,603.0,937.0,715.0,400.0,1023.0,933.0,960.0,825.0,666.0,706.0
2017-04-01 08:30:00,711.0,911.0,768.0,484.0,1062.0,939.0,948.0,828.0,746.0,664.0
2017-04-01 08:40:00,720.0,904.0,799.0,488.0,1117.0,945.0,1029.0,824.0,774.0,701.0
2017-04-01 08:50:00,703.0,1095.0,726.0,507.0,1059.0,1098.0,1106.0,873.0,753.0,684.0
2017-04-01 09:00:00,734.0,1253.0,591.0,509.0,1022.0,1245.0,1112.0,797.0,723.0,704.0
2017-04-01 09:10:00,737.0,1293.0,632.0,496.0,973.0,1186.0,1067.0,796.0,725.0,686.0
2017-04-01 09:20:00,699.0,1354.0,655.0,472.0,1071.0,1145.0,1021.0,774.0,723.0,720.0
2017-04-01 09:30:00,724.0,1364.0,597.0,489.0,1085.0,1172.0,1064.0,751.0,658.0,695.0
2017-04-01 09:40:00,730.0,1263.0,709.0,511.0,1008.0,1128.0,1035.0,779.0,804.0,708.0
2017-04-01 09:50:00,728.0,1315.0,830.0,517.0,1053.0,1188.0,998.0,787.0,816.0,760.0
2017-04-01 10:00:00,736.0,1396.0,857.0,546.0,1008.0,1200.0,1012.0,743.0,770.0,838.0
2017-04-01 10:10:00,752.0,1366.0,853.0,520.0,1071.0,1188.0,1020.0,760.0,798.0,851.0
2017-04-01 10:20:00,702.0,1323.0,832.0,507.0,1055.0,1215.0,992.0,804.0,736.0,843.0
2017-04-01 10:30:00,816.0,1323.0,734.0,512.0,1131.0,1220.0,1043.0,810.0,743.0,829.0
2017-04-01 10:40:00,875.0,1254.0,712.0,509.0,1104.0,1247.0,1027.0,783.0,706.0,802.0
2017-04-01 10:50:00,795.0,1270.0,774.0,505.0,1063.0,1207.0,1030.0,765.0,633.0,802.0
2017-04-01 11:00:00,818.0,1283.0,792.0,548.0,1042.0,1222.0,1073.0,785.0,641.0,756.0
2017-04-01 11:10:00,790.0,1278.0,785.0,553.0,1072.0,1263.0,1123.0,731.0,637.0,749.0
2017-04-01 11:20:00,763.0,1309.0,790.0,530.0,1112.0,1222.0,1076.0,711.0,633.0,762.0
2017-04-01 11:30:00,816.0,1356.0,780.0,524.0,1025.0,1218.0,1030.0,732.0,658.0,744.0
2017-04-01 11:40:00,741.0,1295.0,822.0,516.0,1013.0,1175.0,1104.0,717.0,650.0,748.0
2017-04-01 11:50:00,766.0,1243.0,706.0,505.0,1035.0,1243.0,1053.0,725.0,652.0,766.0
2017-04-01 12:00:00,731.0,1247.0,756.0,525.0,1008.0,1253.0,1002.0,713.0,653.0,740.0
2017-04-01 12:10:00,734.0,1245.0,843.0,532.0,1045.0,1198.0,1022.0,704.0,645.0,771.0
2017-04-01 12:20:00,719.0,1310.0,811.0,507.0,1094.0,1204.0,999.0,700.0,624.0,719.0
2017-04-01 12:30:00,734.0,1310.0,787.0,517.0,1007.0,1254.0,1015.0,697.0,630.0,698.0
2017-04-01 12:40:00,718.0,1301.0,778.0,511.0,974.0,1188.0,1064.0,691.0,622.0,708.0
2017-04-01 12:50:00,755.0,1309.0,768.0,511.0,965.0,1214.0,1055.0,716.0,587.0,783.0
2017-04-01 13:00:00,705.0,1280.0,716.0,514.0,976.0,1222.0,1079.0,708.0,557.0,807.0
2017-04-01 13:10:00,706.0,1282.0,719.0,497.0,975.0,1202.0,1113.0,711.0,534.0,749.0
2017-04-01 13:20:00,702.0,1300.0,738.0,491.0,1058.0,1253.0,1070.0,734.0,525.0,723.0
2017-04-01 13:30:00,700.0,1295.0,756.0,495.0,1009.0,1308.0,1026.0,693.0,497.0,708.0
2017-04-01 13:40:00,714.0,1273.0,772.0,506.0,961.0,1255.0,1053.0,729.0,506.0,695.0
2017-04-01 13:50:00,697.0,1254.0,744.0,502.0,953.0,1239.0,1023.0,700.0,521.0,723.0
2017-04-01 14:00:00,690.0,1288.0,758.0,493.0,965.0,1241.0,1000.0,715.0,512.0,702.0
2017-04-01 14:10:00,648.0,1296.0,715.0,492.0,951.0,1227.0,1098.0,700.0,509.0,719.0
2017-04-01 14:20:00,689.0,1287.0,719.0,478.0,956.0,1200.0,1094.0,709.0,507.0,754.0
2017-04-01 14:30:00,728.0,1270.0,738.0,478.0,942.0,1228.0,1084.0,708.0,525.0,719.0
2017-04-01 14:40:00,719.0,1250.0,729.0,475.0,931.0,1212.0,1085.0,689.0,533.0,692.0
2017-04-01 14:50:00,705.0,1257.0,734.0,471.0,917.0,1244.0,1122.0,718.0,551.0,702.0
2017-04-01 15:00:00,723.0,1248.0,654.0,488.0,943.0,1287.0,1071.0,731.0,510.0,694.0
2017-04-01 15:10:00,731.0,1285.0,687.0,481.0,976.0,1253.0,994.0,751.0,509.0,693.0
2017-04-01 15:20:00,717.0,1315.0,707.0,465.0,930.0,1264.0,996.0,732.0,499.0,744.0
2017-04-01 15:30:00,706.0,1286.0,671.0,463.0,976.0,1245.0,979.0,722.0,501.0,714.0
2017-04-01 15:40:00,701.0,1317.0,749.0,470.0,1002.0,1248.0,988.0,749.0,516.0,779.0
2017-04-01 15:50:00,726.0,1279.0,824.0,494.0,961.0,1263.0,1070.0,781.0,522.0,791.0
2017-04-01 16:00:00,703.0,1288.0,739.0,515.0,953.0,1253.0,1099.0,756.0,509.0,772.0
2017-04-01 16:10:00,709.0,1317.0,707.0,508.0,977.0,1231.0,1089.0,760.0,495.0,690.0
2017-04-01 16:20:00,666.0,1290.0,768.0,494.0,1052.0,1227.0,1069.0,685.0,510.0,696.0
2017-04-01 16:30:00,684.0,1293.0,719.0,499.0,1069.0,1240.0,1035.0,684.0,521.0,702.0
2017-04-01 16:40:00,689.0,1273.0,694.0,493.0,1021.0,1218.0,1011.0,720.0,542.0,691.0
2017-04-01 16:50:00,707.0,1313.0,758.0,485.0,973.0,1214.0,993.0,738.0,547.0,683.0
2017-04-01 17:00:00,717.0,1393.0,793.0,491.0,941.0,1227.0,993.0,704.0,552.0,673.0
2017-04-01 17:10:00,679.0,1333.0,807.0,493.0,952.0,1249.0,996.0,670.0,535.0,661.0
2017-04-01 17:20:00,708.0,1168.0,788.0,462.0,959.0,1238.0,1003.0,662.0,517.0,712.0
2017-04-01 17:30:00,678.0,1195.0,810.0,471.0,951.0,1254.0,994.0,672.0,525.0,682.0
2017-04-01 17:40:00,698.0,1178.0,826.0,472.0,931.0,1219.0,996.0,651.0,538.0,711.0
2017-04-01 17:50:00,687.0,1237.0,711.0,492.0,902.0,1184.0,958.0,659.0,543.0,676.0
2017-04-01 18:00:00,676.0,1228.0,745.0,492.0,916.0,1200.0,946.0,671.0,521.0,692.0
2017-04-01 18:10:00,660.0,1170.0,805.0,467.0,926.0,1191.0,941.0,679.0,514.0,682.0
2017-04-01 18:20:00,657.0,1247.0,795.0,466.0,894.0,1173.0,949.0,680.0,516.0,699.0
2017-04-01 18:30:00,687.0,1193.0,771.0,461.0,917.0,1186.0,952.0,681.0,499.0,670.0
2017-04-01 18:40:00,662.0,1186.0,755.0,482.0,898.0,1110.0,953.0,677.0,528.0,673.0
2017-04-01 18:50:00,693.0,1181.0,749.0,480.0,901.0,1118.0,922.0,653.0,524.0,644.0
2017-04-01 19:00:00,640.0,1161.0,663.0,482.0,873.0,1120.0,925.0,655.0,491.0,657.0
2017-04-01 19:10:00,663.0,1190.0,711.0,476.0,865.0,1098.0,908.0,655.0,469.0,665.0
2017-04-01 19:20:00,625.0,1237.0,769.0,455.0,835.0,1072.0,906.0,634.0,461.0,655.0
2017-04-01 19:30:00,614.0,1163.0,768.0,437.0,848.0,1079.0,895.0,616.0,467.0,613.0
2017-04-01 19:40:00,635.0,1162.0,754.0,428.0,834.0,1062.0,878.0,651.0,452.0,625.0
2017-04-01 19:50:00,611.0,1130.0,721.0,458.0,861.0,1052.0,889.0,652.0,459.0,609.0
2017-04-01 20:00:00,617.0,1072.0,697.0,456.0,848.0,1093.0,879.0,653.0,460.0,610.0
2017-04-01 20:10:00,584.0,1123.0,684.0,444.0,869.0,1043.0,849.0,618.0,462.0,617.0
2017-04-01 20:20:00,593.0,1184.0,641.0,431.0,861.0,1039.0,848.0,604.0,447.0,646.0
2017-04-01 20:30:00,601.0,1179.0,651.0,440.0,845.0,1017.0,842.0,605.0,394.0,590.0
2017-04-01 20:40:00,611.0,1029.0,705.0,442.0,841.0,978.0,856.0,610.0,372.0,599.0
2017-04-01 20:50:00,594.0,892.0,703.0,438.0,760.0,971.0,807.0,625.0,332.0,576.0
2017-04-01 21:00:00,595.0,827.0,603.0,441.0,542.0,785.0,713.0,610.0,309.0,567.0
2017-04-01 21:10:00,592.0,698.0,555.0,433.0,455.0,670.0,692.0,578.0,282.0,532.0
2017-04-01 21:20:00,571.0,612.0,668.0,410.0,437.0,634.0,623.0,563.0,299.0,533.0
2017-04-01 21:30:00,587.0,607.0,634.0,284.0,379.0,580.0,648.0,506.0,312.0,469.0
2017-04-01 21:40:00,560.0,613.0,614.0,259.0,371.0,548.0,627.0,479.0,322.0,416.0
2017-04-01 21:50:00,498.0,614.0,619.0,237.0,361.0,583.0,601.0,484.0,324.0,379.0
2017-04-01 22:00:00,369.0,583.0,449.0,229.0,349.0,593.0,561.0,448.0,264.0,354.0
2017-04-01 22:10:00,344.0,612.0,443.0,206.0,356.0,551.0,537.0,432.0,196.0,361.0
2017-04-01 22:20:00,308.0,639.0,486.0,198.0,363.0,565.0,531.0,405.0,192.0,370.0
2017-04-01 22:30:00,340.0,605.0,444.0,197.0,363.0,556.0,519.0,375.0,199.0,367.0
2017-04-01 22:40:00,487.0,582.0,357.0,194.0,339.0,533.0,505.0,376.0,211.0,338.0
2017-04-01 22:50:00,481.0,516.0,426.0,196.0,337.0,513.0,504.0,378.0,217.0,342.0
2017-04-01 23:00:00,467.0,539.0,458.0,214.0,347.0,533.0,497.0,392.0,213.0,330.0
2017-04-01 23:10:00,425.0,575.0,464.0,198.0,342.0,516.0,491.0,382.0,194.0,348.0
2017-04-01 23:20:00,415.0,632.0,441.0,179.0,345.0,512.0,496.0,382.0,178.0,354.0
2017-04-01 23:30:00,396.0,604.0,436.0,186.0,325.0,542.0,476.0,361.0,203.0,378.0
2017-04-01 23:40:00,317.0,585.0,417.0,185.0,331.0,499.0,469.0,375.0,215.0,369.0
2017-04-01 23:50:00,320.0,567.0,410.0,210.0,339.0,516.0,473.0,369.0,203.0,349.0
2017-04-02 00:00:00,441.0,519.0,383.0,252.0,333.0,487.0,460.0,367.0,214.0,354.0
2017-04-02 00:10:00,397.0,524.0,391.0,271.0,339.0,407.0,469.0,389.0,206.0,362.0
2017-04-02 00:20:00,412.0,510.0,415.0,280.0,345.0,432.0,478.0,374.0,206.0,358.0
2017-04-02 00:30:00,403.0,513.0,419.0,261.0,333.0,487.0,452.0,360.0,210.0,329.0
2017-04-02 00:40:00,416.0,527.0,408.0,243.0,317.0,438.0,485.0,348.0,209.0,331.0
2017-04-02 00:50:00,439.0,534.0,424.0,245.0,303.0,444.0,470.0,336.0,233.0,332.0
2017-04-02 01:00:00,344.0,518.0,422.0,293.0,315.0,513.0,466.0,402.0,218.0,322.0
2017-04-02 01:10:00,416.0,509.0,399.0,290.0,305.0,445.0,480.0,428.0,217.0,327.0
2017-04-02 01:20:00,390.0,502.0,391.0,270.0,318.0,472.0,474.0,401.0,207.0,320.0
2017-04-02 01:30:00,403.0,577.0,413.0,271.0,329.0,475.0,472.0,378.0,215.0,302.0
2017-04-02 01:40:00,403.0,572.0,414.0,273.0,312.0,449.0,456.0,369.0,231.0,319.0
2017-04-02 01:50:00,428.0,608.0,438.0,284.0,336.0,451.0,466.0,353.0,247.0,319.0
2017-04-02 02:00:00,361.0,607.0,402.0,282.0,335.0,478.0,454.0,364.0,248.0,302.0
2017-04-02 02:10:00,398.0,609.0,405.0,280.0,337.0,436.0,453.0,367.0,229.0,349.0
2017-04-02 02:20:00,377.0,612.0,330.0,282.0,330.0,461.0,454.0,356.0,225.0,350.0
2017-04-02 02:30:00,404.0,524.0,370.0,294.0,323.0,488.0,463.0,341.0,239.0,354.0
2017-04-02 02:40:00,416.0,546.0,436.0,275.0,325.0,474.0,437.0,347.0,247.0,346.0
2017-04-02 02:50:00,402.0,512.0,406.0,279.0,310.0,472.0,446.0,338.0,242.0,340.0
2017-04-02 03:00:00,410.0,508.0,303.0,317.0,312.0,517.0,443.0,341.0,236.0,330.0
2017-04-02 03:10:00,364.0,508.0,352.0,324.0,311.0,494.0,447.0,363.0,231.0,339.0
2017-04-02 03:20:00,409.0,528.0,419.0,315.0,296.0,478.0,447.0,366.0,223.0,355.0
2017-04-02 03:30:00,384.0,554.0,348.0,306.0,321.0,503.0,448.0,338.0,232.0,341.0
2017-04-02 03:40:00,397.0,546.0,370.0,302.0,311.0,485.0,442.0,346.0,246.0,350.0
2017-04-02 03:50:00,400.0,531.0,494.0,325.0,309.0,486.0,448.0,343.0,247.0,335.0
2017-04-02 04:00:00,418.0,516.0,364.0,325.0,305.0,504.0,432.0,348.0,229.0,335.0
2017-04-02 04:10:00,412.0,480.0,329.0,326.0,296.0,469.0,442.0,340.0,218.0,328.0
2017-04-02 04:20:00,415.0,527.0,367.0,332.0,329.0,482.0,429.0,329.0,241.0,354.0
2017-04-02 04:30:00,420.0,521.0,366.0,323.0,324.0,471.0,445.0,333.0,222.0,336.0
2017-04-02 04:40:00,375.0,518.0,377.0,322.0,340.0,501.0,437.0,321.0,240.0,316.0
2017-04-02 04:50:00,417.0,523.0,420.0,341.0,328.0,465.0,447.0,311.0,229.0,317.0
2017-04-02 05:00:00,407.0,531.0,442.0,370.0,310.0,501.0,443.0,346.0,230.0,296.0
2017-04-02 05:10:00,343.0,543.0,444.0,355.0,324.0,472.0,463.0,336.0,219.0,335.0
2017-04-02 05:20:00,319.0,520.0,456.0,353.0,364.0,503.0,456.0,333.0,224.0,323.0
2017-04-02 05:30:00,426.0,485.0,438.0,365.0,330.0,494.0,464.0,355.0,214.0,331.0
2017-04-02 05:40:00,408.0,510.0,393.0,350.0,324.0,472.0,466.0,333.0,225.0,334.0
2017-04-02 05:50:00,408.0,535.0,395.0,353.0,340.0,456.0,458.0,335.0,214.0,340.0
2017-04-02 06:00:00,398.0,619.0,413.0,347.0,358.0,504.0,457.0,340.0,230.0,321.0
2017-04-02 06:10:00,382.0,630.0,413.0,342.0,357.0,471.0,455.0,329.0,231.0,334.0
2017-04-02 06:20:00,389.0,635.0,414.0,364.0,340.0,493.0,451.0,323.0,214.0,325.0
2017-04-02 06:30:00,287.0,590.0,393.0,366.0,360.0,497.0,479.0,325.0,207.0,329.0
2017-04-02 06:40:00,324.0,582.0,396.0,362.0,355.0,463.0,471.0,323.0,230.0,324.0
2017-04-02 06:50:00,409.0,555.0,356.0,364.0,345.0,446.0,455.0,316.0,231.0,318.0
2017-04-02 07:00:00,396.0,601.0,345.0,390.0,336.0,495.0,494.0,330.0,220.0,312.0
2017-04-02 07:10:00,391.0,578.0,349.0,375.0,318.0,477.0,461.0,333.0,230.0,319.0
2017-04-02 07:20:00,405.0,596.0,438.0,369.0,318.0,499.0,454.0,333.0,214.0,332.0
2017-04-02 07:30:00,387.0,568.0,465.0,369.0,310.0,495.0,453.0,333.0,224.0,305.0
2017-04-02 07:40:00,372.0,580.0,439.0,388.0,326.0,462.0,440.0,327.0,221.0,317.0
2017-04-02 07:50:00,293.0,562.0,445.0,379.0,323.0,490.0,430.0,341.0,229.0,295.0
2017-04-02 08:00:00,264.0,481.0,435.0,383.0,326.0,491.0,450.0,349.0,220.0,315.0
2017-04-02 08:10:00,274.0,491.0,428.0,383.0,304.0,456.0,479.0,331.0,222.0,333.0
2017-04-02 08:20:00,269.0,487.0,385.0,376.0,354.0,489.0,456.0,329.0,202.0,346.0
2017-04-02 08:30:00,273.0,475.0,385.0,466.0,318.0,494.0,451.0,326.0,222.0,320.0
2017-04-02 08:40:00,256.0,497.0,454.0,461.0,308.0,480.0,459.0,322.0,224.0,308.0
2017-04-02 08:50:00,278.0,492.0,403.0,468.0,311.0,491.0,450.0,333.0,218.0,316.0
2017-04-02 09:00:00,265.0,491.0,293.0,478.0,306.0,494.0,447.0,337.0,223.0,309.0
2017-04-02 09:10:00,274.0,475.0,270.0,456.0,307.0,479.0,452.0,344.0,216.0,323.0
2017-04-02 09:20:00,276.0,469.0,347.0,464.0,350.0,456.0,460.0,335.0,200.0,333.0
2017-04-02 09:30:00,278.0,475.0,329.0,449.0,330.0,471.0,474.0,329.0,216.0,319.0
2017-04-02 09:40:00,293.0,462.0,364.0,481.0,329.0,467.0,473.0,331.0,220.0,318.0
2017-04-02 09:50:00,269.0,465.0,510.0,491.0,331.0,472.0,473.0,346.0,220.0,318.0
2017-04-02 10:00:00,277.0,450.0,503.0,491.0,328.0,511.0,476.0,349.0,207.0,327.0
2017-04-02 10:10:00,257.0,472.0,492.0,488.0,334.0,503.0,473.0,342.0,213.0,316.0
2017-04-02 10:20:00,277.0,477.0,410.0,479.0,350.0,463.0,463.0,346.0,202.0,356.0
2017-04-02 10:30:00,286.0,456.0,278.0,478.0,341.0,494.0,470.0,329.0,215.0,338.0
2017-04-02 10:40:00,306.0,441.0,445.0,476.0,352.0,498.0,466.0,342.0,233.0,334.0
2017-04-02 10:50:00,276.0,432.0,497.0,471.0,331.0,469.0,462.0,351.0,235.0,310.0
2017-04-02 11:00:00,291.0,437.0,447.0,480.0,339.0,494.0,467.0,365.0,223.0,334.0
2017-04-02 11:10:00,297.0,454.0,433.0,467.0,357.0,487.0,474.0,366.0,218.0,331.0
2017-04-02 11:20:00,282.0,503.0,472.0,456.0,343.0,495.0,474.0,353.0,220.0,355.0
2017-04-02 11:30:00,307.0,484.0,435.0,452.0,329.0,501.0,447.0,345.0,236.0,339.0
2017-04-02 11:40:00,290.0,459.0,427.0,449.0,318.0,503.0,454.0,357.0,231.0,348.0
2017-04-02 11:50:00,303.0,459.0,410.0,465.0,354.0,475.0,459.0,354.0,239.0,341.0
2017-04-02 12:00:00,305.0,460.0,336.0,444.0,353.0,485.0,455.0,349.0,223.0,340.0
2017-04-02 12:10:00,319.0,449.0,402.0,448.0,343.0,476.0,477.0,362.0,232.0,353.0
2017-04-02 12:20:00,276.0,470.0,443.0,426.0,353.0,460.0,470.0,360.0,218.0,334.0
2017-04-02 12:30:00,295.0,481.0,433.0,433.0,345.0,528.0,462.0,349.0,233.0,344.0
2017-04-02 12:40:00,320.0,479.0,421.0,421.0,339.0,464.0,485.0,332.0,234.0,327.0
2017-04-02 12:50:00,312.0,496.0,379.0,440.0,349.0,456.0,468.0,340.0,239.0,333.0
2017-04-02 13:00:00,311.0,500.0,392.0,343.0,326.0,483.0,476.0,351.0,223.0,324.0
2017-04-02 13:10:00,304.0,474.0,431.0,295.0,336.0,485.0,487.0,367.0,241.0,336.0
2017-04-02 13:20:00,312.0,447.0,424.0,288.0,364.0,501.0,476.0,367.0,221.0,335.0
2017-04-02 13:30:00,299.0,453.0,412.0,208.0,360.0,496.0,484.0,364.0,239.0,326.0
2017-04-02 13:40:00,325.0,451.0,426.0,208.0,353.0,513.0,476.0,369.0,241.0,305.0
2017-04-02 13:50:00,314.0,461.0,403.0,220.0,358.0,491.0,482.0,376.0,237.0,307.0
2017-04-02 14:00:00,316.0,461.0,395.0,220.0,356.0,506.0,484.0,376.0,230.0,344.0
2017-04-02 14:10:00,293.0,482.0,386.0,209.0,365.0,439.0,495.0,385.0,229.0,334.0
2017-04-02 14:20:00,273.0,494.0,399.0,195.0,364.0,477.0,504.0,366.0,223.0,367.0
2017-04-02 14:30:00,287.0,476.0,407.0,195.0,365.0,481.0,514.0,369.0,233.0,345.0
2017-04-02 14:40:00,301.0,463.0,418.0,200.0,368.0,476.0,492.0,369.0,245.0,344.0
2017-04-02 14:50:00,307.0,451.0,378.0,193.0,371.0,521.0,488.0,371.0,239.0,337.0
2017-04-02 15:00:00,296.0,482.0,297.0,226.0,364.0,529.0,483.0,396.0,233.0,335.0
2017-04-02 15:10:00,306.0,480.0,374.0,209.0,368.0,480.0,479.0,410.0,230.0,347.0
2017-04-02 15:20:00,296.0,458.0,382.0,196.0,347.0,506.0,508.0,394.0,235.0,370.0
2017-04-02 15:30:00,388.0,530.0,369.0,197.0,362.0,516.0,498.0,393.0,240.0,351.0
2017-04-02 15:40:00,474.0,502.0,364.0,210.0,366.0,500.0,483.0,388.0,242.0,350.0
2017-04-02 15:50:00,500.0,481.0,465.0,205.0,366.0,501.0,483.0,386.0,257.0,342.0
2017-04-02 16:00:00,508.0,487.0,443.0,208.0,367.0,512.0,483.0,397.0,239.0,341.0
2017-04-02 16:10:00,487.0,484.0,347.0,210.0,359.0,473.0,496.0,398.0,229.0,355.0
2017-04-02 16:20:00,457.0,487.0,338.0,204.0,376.0,508.0,486.0,371.0,221.0,363.0
2017-04-02 16:30:00,378.0,486.0,383.0,193.0,403.0,509.0,495.0,364.0,233.0,357.0
2017-04-02 16:40:00,317.0,487.0,443.0,201.0,379.0,503.0,517.0,390.0,246.0,335.0
2017-04-02 16:50:00,312.0,520.0,477.0,200.0,366.0,481.0,506.0,384.0,248.0,339.0
2017-04-02 17:00:00,332.0,506.0,438.0,203.0,388.0,461.0,502.0,405.0,235.0,337.0
2017-04-02 17:10:00,324.0,485.0,405.0,192.0,384.0,466.0,511.0,390.0,228.0,345.0
2017-04-02 17:20:00,318.0,471.0,455.0,170.0,417.0,496.0,502.0,385.0,230.0,360.0
2017-04-02 17:30:00,306.0,469.0,475.0,190.0,404.0,533.0,515.0,391.0,236.0,351.0
2017-04-02 17:40:00,317.0,459.0,468.0,194.0,397.0,468.0,514.0,382.0,242.0,342.0
2017-04-02 17:50:00,313.0,467.0,478.0,206.0,394.0,493.0,509.0,388.0,238.0,358.0
2017-04-02 18:00:00,306.0,472.0,414.0,224.0,391.0,484.0,510.0,400.0,237.0,356.0
2017-04-02 18:10:00,315.0,455.0,445.0,200.0,389.0,473.0,508.0,385.0,236.0,349.0
2017-04-02 18:20:00,284.0,576.0,488.0,196.0,388.0,458.0,508.0,375.0,219.0,356.0
2017-04-02 18:30:00,311.0,475.0,490.0,196.0,390.0,498.0,513.0,365.0,237.0,329.0
2017-04-02 18:40:00,321.0,473.0,479.0,205.0,397.0,467.0,504.0,364.0,248.0,348.0
